# Time-averaged data for fix msd_out
# TimeStep c_msd_co2[1] c_msd_co2[2] c_msd_co2[3] c_msd_co2[4]
0 5.27368e-30 3.50605e-30 1.48423e-29 2.3622e-29
100 0.0193693 0.0357561 0.00756479 0.0626902
200 0.0643489 0.10265 0.0291551 0.196154
300 0.127145 0.156828 0.0820719 0.366045
400 0.197613 0.208711 0.152661 0.558985
500 0.255575 0.265474 0.211357 0.732406
600 0.301397 0.325499 0.205823 0.832719
700 0.346696 0.382807 0.18098 0.910482
800 0.40722 0.476898 0.16527 1.04939
900 0.511972 0.526353 0.163008 1.20133
1000 0.58269 0.550389 0.187122 1.3202
1100 0.575429 0.563185 0.225664 1.36428
1200 0.527503 0.564859 0.272418 1.36478
1300 0.552364 0.539506 0.311006 1.40288
1400 0.568644 0.56706 0.284205 1.41991
1500 0.550239 0.627054 0.26667 1.44396
1600 0.580471 0.671019 0.293674 1.54516
1700 0.663343 0.661751 0.331279 1.65637
1800 0.74447 0.645623 0.305526 1.69562
1900 0.764891 0.636299 0.286501 1.68769
2000 0.73542 0.641099 0.251916 1.62844
2100 0.634177 0.642371 0.220244 1.49679
2200 0.549649 0.643618 0.199046 1.39231
2300 0.548768 0.592334 0.195632 1.33673
2400 0.544928 0.51206 0.234309 1.2913
2500 0.519931 0.491254 0.257163 1.26835
2600 0.487054 0.531213 0.258285 1.27655
2700 0.50455 0.577234 0.242 1.32378
2800 0.57952 0.613994 0.240462 1.43398
2900 0.667878 0.637087 0.243551 1.54852
3000 0.736939 0.601766 0.222963 1.56167
3100 0.78456 0.59064 0.253797 1.629
3200 0.820555 0.615318 0.270459 1.70633
3300 0.889775 0.657785 0.249839 1.7974
3400 1.03588 0.675711 0.251609 1.9632
3500 1.11336 0.76087 0.270063 2.14429
3600 1.17608 0.798314 0.294849 2.26925
3700 1.22309 0.832426 0.323172 2.37869
3800 1.28458 0.783255 0.330608 2.39845
3900 1.27437 0.813632 0.276999 2.365
4000 1.32115 0.855975 0.21334 2.39047
4100 1.34736 0.878173 0.2051 2.43063
4200 1.33749 0.830043 0.2434 2.41093
4300 1.26206 0.826162 0.290748 2.37897
4400 1.20742 0.82551 0.330977 2.36391
4500 1.10893 0.808391 0.321421 2.23875
4600 1.07504 0.763298 0.294898 2.13324
4700 1.1122 0.744693 0.312441 2.16934
4800 1.1166 0.658112 0.331462 2.10617
4900 1.07022 0.602072 0.341882 2.01418
5000 1.05627 0.591394 0.347825 1.99549
